iter	Passed	Remaining
0	172	172008
1	174	86980
2	176	58582
3	178	44370
4	180	35895
5	185	30813
6	188	26669
7	190	23613
8	192	21191
9	194	19219
10	199	17900
11	201	16629
12	203	15464
13	210	14854
14	216	14187
15	223	13715
16	232	13429
17	233	12761
18	236	12212
19	245	12042
20	248	11569
21	252	11214
22	255	10867
23	264	10752
24	284	11077
25	313	11742
26	326	11749
27	330	11488
28	345	11567
29	348	11259
30	351	11000
31	362	10979
32	366	10746
33	380	10807
34	390	10775
35	393	10530
36	395	10292
37	398	10087
38	411	10130
39	413	9924
40	418	9780
41	423	9671
42	425	9479
43	427	9288
44	432	9175
45	434	9011
46	436	8860
47	438	8700
48	440	8544
49	442	8398
50	445	8291
51	447	8160
52	449	8027
53	454	7959
54	458	7871
55	462	7799
56	464	7686
57	466	7572
58	467	7461
59	469	7360
60	471	7263
61	476	7211
62	478	7118
63	481	7039
64	483	6956
65	498	7061
66	502	6994
67	508	6968
68	511	6903
69	513	6822
70	515	6739
71	517	6674
72	520	6604
73	523	6546
74	524	6473
75	528	6424
76	530	6355
77	534	6317
78	537	6263
79	539	6202
80	542	6154
81	546	6118
82	547	6047
83	554	6043
84	556	5987
85	559	5945
86	561	5888
87	565	5859
88	567	5813
89	569	5762
90	571	5712
91	573	5660
92	575	5609
93	578	5578
94	581	5535
95	582	5486
96	584	5439
97	586	5394
98	590	5375
99	601	5409
100	602	5366
101	605	5333
102	610	5314
103	612	5277
104	614	5235
105	619	5227
106	621	5188
107	627	5181
108	629	5146
109	631	5112
110	641	5141
111	645	5116
112	647	5079
113	649	5047
114	657	5057
115	659	5028
116	663	5006
117	665	4971
118	670	4965
119	673	4937
120	675	4910
121	677	4874
122	679	4847
123	685	4843
124	687	4811
125	689	4782
126	690	4747
127	692	4715
128	694	4685
129	696	4658
130	700	4647
131	703	4623
132	704	4594
133	706	4566
134	716	4592
135	722	4591
136	728	4590
137	733	4580
138	735	4555
139	737	4528
140	739	4504
141	740	4474
142	751	4504
143	763	4539
144	765	4512
145	768	4497
146	770	4473
147	775	4461
148	778	4443
149	779	4418
150	781	4394
151	785	4381
152	787	4358
153	800	4399
154	812	4430
155	814	4407
156	816	4382
157	820	4371
158	823	4356
159	826	4341
160	829	4322
161	832	4305
162	838	4306
163	840	4284
164	843	4271
165	852	4284
166	858	4281
167	864	4283
168	867	4263
169	873	4263
170	876	4247
171	883	4252
172	885	4234
173	887	4213
174	889	4192
175	891	4172
176	898	4179
177	900	4158
178	902	4140
179	905	4123
180	907	4107
181	911	4095
182	915	4087
183	918	4071
184	919	4052
185	922	4035
186	925	4023
187	928	4009
188	930	3991
189	932	3973
190	933	3955
191	941	3960
192	942	3942
193	944	3924
194	946	3906
195	948	3889
196	949	3871
197	951	3853
198	954	3841
199	957	3828
200	959	3813
201	966	3818
202	974	3826
203	976	3810
204	978	3794
205	980	3779
206	982	3763
207	993	3783
208	995	3767
209	998	3755
210	1002	3748
211	1004	3733
212	1007	3723
213	1010	3712
214	1013	3700
215	1017	3692
216	1019	3680
217	1021	3664
218	1023	3649
219	1025	3636
220	1035	3651
221	1038	3638
222	1039	3623
223	1041	3609
224	1046	3603
225	1051	3599
226	1053	3587
227	1056	3577
228	1058	3563
229	1060	3549
230	1061	3534
231	1063	3520
232	1065	3507
233	1067	3494
234	1072	3492
235	1074	3479
236	1092	3517
237	1095	3506
238	1097	3494
239	1100	3483
240	1102	3473
241	1106	3465
242	1108	3452
243	1113	3449
244	1115	3436
245	1116	3423
246	1121	3418
247	1124	3408
248	1128	3402
249	1131	3393
250	1133	3381
251	1135	3371
252	1140	3366
253	1143	3359
254	1145	3347
255	1147	3334
256	1150	3326
257	1154	3321
258	1157	3310
259	1162	3310
260	1164	3298
261	1166	3286
262	1169	3277
263	1171	3266
264	1173	3254
265	1175	3242
266	1180	3241
267	1184	3235
268	1186	3225
269	1191	3221
270	1194	3213
271	1199	3211
272	1203	3205
273	1208	3202
274	1210	3191
275	1216	3191
276	1218	3180
277	1221	3171
278	1223	3161
279	1227	3155
280	1230	3147
281	1234	3142
282	1240	3142
283	1243	3136
284	1250	3137
285	1254	3131
286	1256	3121
287	1264	3127
288	1266	3116
289	1268	3105
290	1270	3095
291	1272	3084
292	1273	3073
293	1277	3066
294	1280	3059
295	1282	3049
296	1283	3038
297	1287	3033
298	1294	3034
299	1296	3024
300	1301	3021
301	1304	3014
302	1307	3008
303	1310	2999
304	1312	2991
305	1315	2984
306	1318	2975
307	1319	2965
308	1324	2960
309	1325	2951
310	1327	2941
311	1329	2931
312	1330	2921
313	1332	2911
314	1338	2910
315	1339	2899
316	1341	2890
317	1343	2881
318	1345	2872
319	1349	2866
320	1351	2857
321	1353	2849
322	1355	2840
323	1356	2830
324	1358	2820
325	1360	2813
326	1367	2813
327	1369	2804
328	1371	2796
329	1373	2788
330	1375	2779
331	1376	2769
332	1379	2763
333	1381	2754
334	1383	2745
335	1384	2736
336	1386	2727
337	1387	2718
338	1389	2709
339	1391	2701
340	1396	2697
341	1402	2699
342	1416	2712
343	1417	2703
344	1433	2721
345	1435	2712
346	1438	2706
347	1441	2701
348	1443	2692
349	1444	2683
350	1446	2673
351	1447	2665
352	1449	2656
353	1451	2647
354	1452	2638
355	1454	2630
356	1456	2623
357	1459	2617
358	1461	2609
359	1463	2602
360	1470	2602
361	1472	2594
362	1474	2586
363	1476	2579
364	1477	2571
365	1480	2564
366	1483	2559
367	1487	2555
368	1490	2548
369	1492	2541
370	1495	2534
371	1496	2527
372	1499	2520
373	1501	2513
374	1503	2505
375	1504	2497
376	1506	2489
377	1507	2481
378	1515	2482
379	1517	2475
380	1519	2468
381	1521	2460
382	1522	2453
383	1525	2446
384	1531	2445
385	1533	2438
386	1534	2431
387	1537	2424
388	1539	2418
389	1548	2421
390	1551	2416
