iter	Passed	Remaining
0	2	227
1	4	243
2	6	221
3	8	198
4	10	196
5	18	288
6	20	269
7	22	256
8	24	245
9	26	234
10	32	260
11	34	254
12	38	258
13	46	285
14	49	280
15	52	274
16	54	264
17	56	255
18	62	265
19	64	257
20	67	252
21	69	245
22	71	237
23	76	242
24	81	243
25	83	238
26	86	232
27	111	285
28	114	281
29	117	274
30	124	276
31	127	270
32	129	263
33	131	256
34	133	248
35	136	241
36	137	234
37	139	228
38	141	221
39	144	216
40	150	217
41	151	209
42	153	203
43	158	201
44	160	196
45	163	191
46	165	186
47	167	181
48	169	176
49	177	177
50	179	172
51	183	169
52	195	173
53	200	170
54	205	168
55	208	163
56	210	158
57	213	154
58	220	153
59	223	148
60	225	144
61	228	139
62	236	138
63	239	134
64	241	129
65	250	129
66	252	124
67	256	120
68	258	116
69	267	114
70	270	110
71	272	105
72	273	101
73	275	96
74	276	92
75	282	89
76	285	85
77	287	81
78	290	77
79	297	74
80	299	70
81	302	66
82	306	62
83	313	59
84	315	55
85	317	51
86	319	47
87	330	45
88	332	41
89	337	37
90	343	33
91	346	30
92	347	26
93	349	22
94	358	18
95	362	15
96	366	11
97	368	7
98	371	3
99	378	0
